PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSITION
1641731,Bilal Coulibaly,WAS,20.0,59,33.0,12.3,5.0,3.4,1.3,0.7,2.1,0.421,0.281,0.746,1.5,3.4,104.5,118.3,-13.8,0.15,1.59,19.4,0.043,0.098,0.07,12.2,0.472,0.515,0.175,103.22,0.07,
202687,Bismack Biyombo,SAS,32.0,28,18.8,5.1,5.6,1.1,0.6,0.8,1.0,0.588,0.0,0.4,1.5,4.1,108.7,117.9,-9.2,0.079,1.15,16.9,0.08,0.207,0.144,14.8,0.588,0.576,0.124,100.23,0.08,
1631104,Blake Wesley,SAS,22.0,58,11.8,3.7,1.1,2.0,0.6,0.1,0.9,0.435,0.293,0.623,0.3,0.8,110.2,109.7,0.5,0.225,2.11,29.8,0.025,0.062,0.044,14.1,0.481,0.51,0.165,101.92,0.066,
1626171,Bobby Portis,MIL,30.0,49,25.4,13.9,8.4,2.1,0.7,0.5,1.2,0.466,0.365,0.836,1.8,6.6,114.1,110.8,3.4,0.126,1.82,13.2,0.071,0.235,0.156,7.2,0.52,0.542,0.234,101.2,0.131,
203992,Bogdan Bogdanović,LAC,32.0,54,25.0,10.8,2.9,2.7,0.8,0.2,1.4,0.427,0.363,0.879,0.4,2.5,112.7,110.0,2.7,0.152,1.97,19.7,0.017,0.098,0.057,10.0,0.534,0.559,0.183,101.35,0.074,
1629626,Bol Bol,PHX,25.0,36,12.5,6.8,2.9,0.6,0.3,0.7,0.6,0.525,0.344,0.769,0.6,2.3,112.1,115.9,-3.9,0.071,1.1,9.3,0.047,0.168,0.113,8.4,0.612,0.627,0.204,102.75,0.114,
1630538,Bones Hyland,MIN,24.0,24,9.9,6.2,1.0,1.3,0.8,0.2,1.0,0.398,0.39,0.885,0.2,0.8,102.0,108.1,-6.1,0.246,1.28,17.3,0.02,0.083,0.051,13.5,0.534,0.576,0.274,98.61,0.108,
203078,Bradley Beal,PHX,32.0,53,32.1,17.0,3.3,3.7,1.1,0.5,1.9,0.497,0.386,0.803,0.6,2.7,110.6,118.6,-8.0,0.177,1.97,18.6,0.021,0.083,0.054,9.4,0.571,0.598,0.219,100.02,0.093,
1642382,Branden Carlson,OKC,26.0,32,7.7,3.8,1.7,0.4,0.2,0.7,0.2,0.443,0.333,0.778,0.5,1.2,115.1,105.8,9.4,0.077,2.0,11.1,0.064,0.131,0.099,5.6,0.557,0.581,0.185,103.83,0.101,
1641764,Brandin Podziemski,GSW,22.0,64,26.8,11.7,5.1,3.4,1.1,0.2,1.2,0.445,0.372,0.758,1.0,4.1,111.6,105.1,6.6,0.194,2.93,22.8,0.034,0.151,0.089,7.8,0.537,0.557,0.177,100.36,0.114,
1630527,Brandon Boston,NOP,23.0,42,23.6,10.7,3.2,2.2,1.3,0.2,1.2,0.436,0.35,0.788,0.7,2.5,108.6,114.8,-6.2,0.14,1.77,16.3,0.026,0.107,0.065,9.2,0.5,0.535,0.199,99.87,0.085,
1629634,Brandon Clarke,MEM,28.0,64,18.9,8.3,5.1,1.0,0.8,0.6,0.6,0.621,0.059,0.701,2.0,3.1,116.5,108.2,8.2,0.072,1.61,12.7,0.102,0.148,0.126,7.9,0.622,0.638,0.15,105.54,0.108,
1627742,Brandon Ingram,TOR,27.0,18,33.1,22.2,5.6,5.2,0.9,0.6,3.8,0.465,0.374,0.855,0.9,4.6,107.0,117.7,-10.7,0.28,1.35,18.0,0.027,0.14,0.083,13.3,0.53,0.56,0.305,97.49,0.122,
1641706,Brandon Miller,CHA,22.0,27,34.2,21.0,4.9,3.6,1.1,0.7,2.8,0.403,0.355,0.861,0.9,3.9,106.9,113.8,-6.8,0.182,1.29,14.0,0.024,0.117,0.068,10.9,0.509,0.54,0.27,98.77,0.1,
1630314,Brandon Williams,DAL,25.0,33,14.8,8.3,1.8,2.3,0.7,0.2,1.2,0.521,0.4,0.833,0.4,1.4,109.5,108.8,0.7,0.228,1.95,22.9,0.025,0.091,0.059,11.7,0.585,0.634,0.218,104.74,0.119,
1641729,Brice Sensabaugh,UTA,21.0,71,20.2,10.9,3.0,1.5,0.6,0.1,1.5,0.459,0.422,0.89,0.6,2.4,109.9,119.5,-9.6,0.117,1.03,13.0,0.028,0.11,0.069,12.7,0.59,0.612,0.208,103.21,0.087,
1642355,Bronny James,LAL,20.0,27,6.7,2.3,0.7,0.8,0.3,0.1,0.5,0.313,0.281,0.786,0.1,0.5,95.5,114.1,-18.6,0.191,1.69,20.4,0.021,0.076,0.048,12.0,0.381,0.424,0.199,99.45,0.05,
201572,Brook Lopez,MIL,37.0,80,31.8,13.0,5.0,1.8,0.6,1.9,1.1,0.509,0.373,0.826,1.4,3.6,114.8,112.7,2.2,0.078,1.7,13.5,0.046,0.107,0.078,7.9,0.599,0.624,0.157,100.24,0.087,
1628971,Bruce Brown,NOP,28.0,41,22.5,8.3,4.0,2.0,0.8,0.2,1.0,0.421,0.333,0.815,1.0,3.0,104.8,116.8,-11.9,0.133,2.15,18.3,0.04,0.134,0.085,8.5,0.464,0.504,0.169,100.19,0.078,
1628981,Bruno Fernando,TOR,26.0,17,8.6,3.4,3.0,1.1,0.2,0.5,0.8,0.531,0.0,0.75,1.2,1.8,103.9,110.1,-6.1,0.194,1.29,21.2,0.127,0.21,0.165,16.5,0.531,0.552,0.182,100.37,0.1,
1631121,Bryce McGowens,POR,22.0,13,2.5,1.0,0.2,0.2,0.1,0.0,0.3,0.286,0.0,0.833,0.2,0.1,89.9,97.1,-7.2,0.105,0.5,9.1,0.056,0.034,0.046,18.2,0.286,0.391,0.244,102.7,0.0,
1642267,Bub Carrington,WAS,19.0,82,30.0,9.8,4.2,4.4,0.7,0.3,1.7,0.401,0.339,0.812,0.4,3.8,102.8,118.0,-15.2,0.213,2.58,28.3,0.012,0.117,0.064,11.0,0.493,0.514,0.154,103.06,0.071,
1627741,Buddy Hield,GSW,32.0,82,22.7,11.1,3.2,1.6,0.8,0.3,1.1,0.417,0.37,0.828,0.6,2.6,112.3,110.1,2.2,0.106,1.47,13.0,0.025,0.111,0.066,8.8,0.546,0.56,0.196,100.82,0.085,
203468,CJ McCollum,NOP,33.0,56,32.7,21.1,3.8,4.1,0.8,0.4,1.9,0.444,0.373,0.717,0.8,3.0,112.3,119.4,-7.1,0.192,2.14,16.1,0.022,0.091,0.056,7.5,0.53,0.55,0.266,101.56,0.097,
1630595,Cade Cunningham,DET,23.0,70,35.0,26.1,6.1,9.1,1.0,0.8,4.4,0.469,0.356,0.846,0.8,5.3,115.0,112.2,2.8,0.409,2.06,25.0,0.023,0.147,0.086,12.1,0.521,0.565,0.323,101.57,0.152,
1631216,Caleb Houstan,ORL,22.0,58,13.6,4.1,1.3,0.6,0.4,0.1,0.2,0.421,0.4,0.882,0.3,1.0,104.2,108.2,-4.1,0.066,2.69,14.3,0.023,0.073,0.047,5.3,0.589,0.605,0.115,96.82,0.061,
1628997,Caleb Martin,DAL,29.0,45,27.1,7.9,3.9,2.1,1.0,0.5,1.2,0.424,0.359,0.622,1.2,2.8,106.5,112.8,-6.3,0.116,1.7,19.0,0.042,0.105,0.073,11.2,0.485,0.513,0.143,98.64,0.063,
1642353,Cam Christie,LAC,19.0,13,4.5,1.4,0.9,0.5,0.4,0.1,0.2,0.292,0.154,0.5,0.2,0.7,97.6,105.6,-7.9,0.167,3.0,17.6,0.051,0.141,0.098,5.9,0.333,0.349,0.192,103.12,0.07,
1629629,Cam Reddish,LAL,25.0,33,17.9,3.2,2.0,0.7,1.0,0.3,0.4,0.404,0.277,0.615,0.5,1.5,107.6,115.9,-8.4,0.049,1.83,15.8,0.029,0.081,0.056,8.6,0.473,0.498,0.084,100.53,0.04,
1642285,Cam Spencer,MEM,25.0,25,10.1,4.2,1.2,1.4,0.4,0.0,0.2,0.415,0.365,1.0,0.5,0.7,116.4,109.6,6.8,0.182,5.67,26.2,0.043,0.07,0.056,4.6,0.53,0.587,0.148,103.04,0.087,
1630560,Cam Thomas,BKN,23.0,25,31.2,24.0,3.3,3.8,0.6,0.1,2.5,0.438,0.349,0.881,0.6,2.7,114.9,120.6,-5.7,0.217,1.52,14.0,0.02,0.089,0.054,9.2,0.513,0.575,0.328,96.1,0.122,
1641715,Cam Whitmore,HOU,20.0,51,16.2,9.4,3.0,1.0,0.6,0.3,0.9,0.444,0.355,0.75,0.7,2.3,113.4,112.3,1.1,0.09,1.07,9.2,0.039,0.139,0.086,8.7,0.525,0.549,0.231,100.93,0.108,
1629661,Cameron Johnson,BKN,29.0,57,31.6,18.8,4.3,3.4,0.9,0.4,1.7,0.475,0.39,0.893,0.9,3.4,110.9,116.7,-5.8,0.179,1.96,17.2,0.03,0.113,0.07,8.8,0.582,0.632,0.224,97.41,0.124,
1626166,Cameron Payne,NYK,30.0,72,15.1,6.9,1.4,2.8,0.5,0.2,0.7,0.401,0.363,0.907,0.2,1.3,116.6,107.5,9.1,0.251,3.9,28.1,0.013,0.081,0.047,7.2,0.506,0.532,0.2,100.23,0.089,
1627747,Caris LeVert,ATL,30.0,64,24.9,12.1,3.2,3.4,0.9,0.5,1.2,0.467,0.373,0.71,0.6,2.5,120.5,113.4,7.2,0.178,2.83,22.5,0.026,0.096,0.062,7.9,0.556,0.582,0.191,103.21,0.094,
1641717,Cason Wallace,OKC,21.0,68,27.6,8.4,3.4,2.5,1.8,0.5,0.9,0.474,0.356,0.811,1.0,2.3,117.2,107.1,10.1,0.117,2.93,23.5,0.036,0.079,0.057,8.0,0.55,0.562,0.124,101.87,0.075,
1629646,Charles Bassey,SAS,24.0,36,10.4,4.4,4.2,0.5,0.4,0.8,0.6,0.581,0.0,0.636,1.6,2.7,101.6,117.5,-15.9,0.072,0.74,9.9,0.133,0.24,0.185,13.5,0.581,0.597,0.164,105.46,0.113,
1631096,Chet Holmgren,OKC,23.0,32,27.4,15.0,8.0,2.0,0.7,2.2,1.8,0.49,0.379,0.754,1.5,6.5,121.7,105.6,16.1,0.091,1.13,12.1,0.054,0.208,0.136,10.8,0.554,0.599,0.214,103.83,0.122,
1628449,Chris Boucher,TOR,32.0,50,17.2,10.0,4.5,0.7,0.5,0.5,0.6,0.492,0.363,0.782,1.4,3.1,113.3,113.5,-0.2,0.057,1.14,7.0,0.077,0.175,0.125,6.2,0.586,0.615,0.208,99.28,0.126,
1630537,Chris Duarte,CHI,28.0,17,4.4,2.1,1.2,0.5,0.0,0.0,0.1,0.462,0.4,0.75,0.3,0.9,105.2,102.4,2.8,0.173,9.0,23.1,0.06,0.165,0.115,2.6,0.577,0.61,0.151,108.61,0.127,
1641753,Chris Livingston,MIL,21.0,21,5.0,1.4,1.7,0.2,0.2,0.0,0.3,0.333,0.0,0.75,0.5,1.2,89.6,102.2,-12.6,0.078,0.83,11.1,0.091,0.198,0.148,13.3,0.333,0.441,0.15,104.34,0.099,
101108,Chris Paul,SAS,40.0,82,28.0,8.8,3.6,7.4,1.3,0.3,1.6,0.427,0.377,0.924,0.4,3.2,114.2,115.0,-0.8,0.342,4.69,45.0,0.014,0.11,0.062,9.6,0.547,0.58,0.137,100.48,0.102,
1631128,Christian Braun,DEN,24.0,79,33.9,15.4,5.2,2.6,1.1,0.5,1.0,0.58,0.397,0.827,1.2,3.9,122.7,114.5,8.2,0.096,2.53,17.1,0.039,0.109,0.077,6.8,0.634,0.665,0.155,101.04,0.096,
1631132,Christian Koloko,LAL,25.0,37,9.2,2.4,2.5,0.4,0.2,0.4,0.3,0.606,0.0,0.714,0.9,1.5,104.7,106.0,-1.3,0.068,1.33,15.8,0.095,0.165,0.129,11.9,0.606,0.624,0.104,101.19,0.082,
203991,Clint Capela,ATL,31.0,55,21.4,8.9,8.5,1.1,0.6,1.0,0.9,0.559,0.0,0.536,3.2,5.4,108.7,111.5,-2.7,0.073,1.32,11.4,0.132,0.238,0.183,8.7,0.559,0.564,0.16,105.23,0.117,
1629632,Coby White,CHI,25.0,74,33.1,20.4,3.7,4.5,0.9,0.2,2.4,0.453,0.37,0.902,0.3,3.4,111.5,113.9,-2.5,0.197,1.86,18.8,0.01,0.095,0.053,10.1,0.55,0.601,0.237,105.37,0.103,
1628998,Cody Martin,PHX,29.0,53,22.1,6.8,4.2,2.0,1.1,0.6,1.0,0.418,0.285,0.705,1.0,3.2,108.1,111.3,-3.2,0.128,2.06,20.6,0.041,0.136,0.088,10.0,0.485,0.509,0.142,101.2,0.08,
1642262,Cody Williams,UTA,20.0,50,21.2,4.6,2.3,1.2,0.5,0.3,0.9,0.323,0.259,0.725,0.5,1.7,103.0,118.5,-15.5,0.078,1.34,15.6,0.024,0.075,0.049,11.6,0.391,0.419,0.122,103.19,0.021,
1641732,Colby Jones,WAS,23.0,39,13.2,4.0,2.2,1.1,0.7,0.3,0.6,0.457,0.327,0.657,0.5,1.7,104.4,114.8,-10.4,0.123,1.91,20.8,0.038,0.123,0.08,10.8,0.519,0.544,0.138,99.47,0.078,
1630175,Cole Anthony,MEM,25.0,67,18.4,9.4,3.0,2.9,0.7,0.5,1.5,0.424,0.353,0.823,0.7,2.4,107.7,109.0,-1.2,0.253,1.85,21.6,0.034,0.131,0.08,11.6,0.494,0.531,0.238,97.7,0.105,
1631306,Cole Swider,IND,26.0,10,17.0,5.9,2.7,0.3,0.4,0.2,0.4,0.349,0.319,0.0,0.5,2.2,114.2,100.5,13.7,0.022,0.75,4.3,0.026,0.119,0.072,5.7,0.468,0.465,0.155,104.92,0.046,
1630658,Colin Castleton,TOR,25.0,26,16.6,4.7,4.7,1.1,0.3,0.4,0.9,0.469,0.125,0.763,2.0,2.7,106.1,108.2,-2.1,0.092,1.22,16.9,0.104,0.143,0.123,13.9,0.48,0.536,0.125,102.22,0.074,
1631221,Collin Gillespie,PHX,26.0,33,14.0,5.9,2.4,2.4,0.6,0.2,0.5,0.43,0.433,0.864,0.7,1.7,115.6,118.4,-2.8,0.235,4.59,29.7,0.048,0.124,0.086,6.5,0.554,0.578,0.17,98.66,0.105,
1629012,Collin Sexton,UTA,26.0,63,27.9,18.4,2.7,4.2,0.7,0.1,2.5,0.48,0.406,0.865,1.0,1.8,110.4,117.9,-7.5,0.246,1.65,18.9,0.033,0.06,0.047,11.5,0.543,0.593,0.264,101.38,0.106,
1630557,Corey Kispert,WAS,26.0,61,26.3,11.6,3.0,1.7,0.4,0.2,1.0,0.451,0.364,0.852,0.6,2.4,108.7,117.1,-8.5,0.094,1.61,13.4,0.021,0.084,0.053,8.3,0.558,0.584,0.169,102.68,0.074,
202709,Cory Joseph,ORL,33.0,50,12.2,3.5,1.5,1.4,0.5,0.1,0.4,0.403,0.364,0.778,0.3,1.1,110.5,106.9,3.6,0.166,4.0,28.7,0.027,0.095,0.06,7.2,0.529,0.547,0.126,98.59,0.075,
1641854,Craig Porter Jr.,CLE,25.0,51,10.1,3.7,1.3,1.4,0.3,0.3,0.7,0.514,0.438,0.719,0.4,0.9,108.3,113.5,-5.2,0.191,1.87,27.0,0.037,0.085,0.063,14.4,0.589,0.61,0.155,100.91,0.091,
